step,time,reward,cost,goal_error_norm,d_min,risk_global,beta,closest_link,safety_violation,collision,success,qdot_norm,acc_norm,jerk_norm,qdot_requested_norm,safety_filter_status,safety_filter_intervention_norm,safety_filter_safe_stop,safety_filter_active_constraints,safety_filter_constraint_count,safety_filter_active_constraint_categories,safety_filter_max_constraint_category,safety_filter_projection_iterations,safety_filter_fallback_used,safety_filter_qp_solver_used,safety_filter_qp_solver_status,safety_filter_max_constraint_violation,predictive_risk_status,predictive_h_min_m,safety_filter_solve_time_s
0,0.05,-0.8848442536152654,0.2699630856513977,0.6244438290596008,0.3839992582798004,0.24570336937904358,0.35,2,0,0,0,0.42062973976135254,8.41259479522705,168.25189208984375,0.4845064878463745,filtered,0.07528742693647356,0,0,12,,workspace_x_upper,0,0,1,solved,0.0,valid,0.23369317730438677,0.0048190150409936905
1,0.1,-0.6866656350793345,0.26710960268974304,0.6066198348999023,0.3715081512928009,0.24058695137500763,0.35,2,0,0,0,0.7286911606788635,6.642800331115723,83.42845916748047,0.7286905646324158,filtered,1.0080819597844004e-06,0,0,12,,workspace_x_upper,0,0,1,solved,0.0,valid,0.22041842192466105,0.004308685660362244
2,0.15000000000000002,-0.5431983279267959,0.2688063681125641,0.583861768245697,0.3597818911075592,0.2401338517665863,0.35,2,0,0,0,0.9423410892486572,4.741340160369873,50.36518859863281,0.9423410892486572,passthrough,4.8727369725049954e-12,0,0,12,,predictive_link_2,0,0,1,solved,0.0,valid,0.20846943598269496,0.004862835630774498
3,0.2,-0.4346394630814896,0.2743464708328247,0.5580733418464661,0.3485667407512665,0.24360837042331696,0.35,2,0,0,0,1.1092585325241089,3.991187334060669,30.34864044189453,1.1092573404312134,filtered,1.8617065355169239e-06,0,0,12,,predictive_link_2,0,0,1,solved,0.0,valid,0.19745353821269712,0.00459805503487587
4,0.25,-0.34919968990236866,0.28259551525115967,0.5304660201072693,0.3377059996128082,0.24986769258975983,0.35,2,0,0,0,1.22563636302948,2.73417067527771,26.89460563659668,1.22563636302948,passthrough,6.220950943250958e-12,0,0,12,,predictive_link_2,0,0,1,solved,0.0,valid,0.18708353590312782,0.0047135138884186745
5,0.30000000000000004,-0.2892568880928422,0.29296979308128357,0.5022245645523071,0.3270949125289917,0.25833308696746826,0.35,2,0,0,0,1.2821789979934692,1.3201080560684204,32.06085205078125,1.2821789979934692,passthrough,7.717818550713102e-12,0,0,12,,predictive_link_2,0,0,1,solved,0.0,valid,0.17718769108610755,0.004613890312612057
6,0.35000000000000003,-0.2577456188976259,0.30564746260643005,0.47453558444976807,0.31663182377815247,0.26918771862983704,0.35,2,0,0,0,1.2869411706924438,1.147851586341858,27.50348472595215,1.2869411706924438,passthrough,5.394041167450075e-12,0,0,12,,predictive_link_2,0,0,1,solved,0.0,valid,0.1676556455664387,0.002730952575802803
7,0.4,-0.2539809681376682,0.3195776343345642,0.44852253794670105,0.30628395080566406,0.28141871094703674,0.35,2,0,0,0,1.2688614130020142,1.7124158143997192,20.978240966796875,1.2688614130020142,passthrough,6.827611080610938e-12,0,0,12,,predictive_link_2,0,0,1,solved,0.0,valid,0.1583837446983687,0.003491068258881569
8,0.45,-0.28167726589749803,0.3343161940574646,0.4254351854324341,0.2960470914840698,0.2946382164955139,0.35,2,0,0,0,1.2092947959899902,3.0711936950683594,32.83517837524414,1.209294319152832,filtered,7.953790126007089e-07,0,0,12,,predictive_link_2,0,0,1,solved,0.0,valid,0.14934866585226114,0.00294597540050745
9,0.5,-0.34231438460607033,0.34834349155426025,0.406576544046402,0.28599464893341064,0.3074323534965515,0.35,2,0,0,0,1.1074049472808838,5.307980060577393,50.02012634277344,1.1074047088623047,filtered,5.705934807119858e-07,0,0,12,,predictive_link_2,0,0,1,solved,0.0,valid,0.1405580044086307,0.002767459489405155
